                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.39778,                0.25833,                0.95775,                0.99847,                      1,                  0.995,                0.97178,                0.25676,                0.18384,                0.86943,              0.0029512,              0.0029512,              0.0029512
                     91,                0.43213,                0.27557,                0.96364,                0.99829,                      1,                  0.995,                0.97412,                0.31004,                0.20288,                0.88611,               0.002872,               0.002872,               0.002872
                     92,                 0.4207,                0.27601,                0.96251,                0.99836,                      1,                  0.995,                0.95879,                0.30584,                0.18748,                0.91291,              0.0027928,              0.0027928,              0.0027928
                     93,                0.42724,                0.27901,                0.97209,                0.99847,                      1,                  0.995,                0.97974,                 0.2443,                0.19447,                0.87902,              0.0027136,              0.0027136,              0.0027136
                     94,                0.39108,                0.25723,                0.95133,                0.99841,                      1,                  0.995,                0.98613,                0.26787,                0.17622,                0.88444,              0.0026344,              0.0026344,              0.0026344
                     95,                0.40688,                0.27276,                 0.9572,                0.99842,                      1,                  0.995,                0.96273,                0.28492,                0.20253,                0.88094,              0.0025552,              0.0025552,              0.0025552
                     96,                0.41806,                0.26398,                  0.971,                 0.9985,                      1,                  0.995,                0.98196,                0.27398,                0.19051,                0.86357,               0.002476,               0.002476,               0.002476
                     97,                0.40209,                0.25309,                0.95311,                0.99849,                      1,                  0.995,                0.97596,                0.25984,                0.17776,                 0.8564,              0.0023968,              0.0023968,              0.0023968
                     98,                0.38268,                0.24771,                0.94274,                0.99817,                      1,                  0.995,                 0.9843,                0.25878,                0.16079,                0.86512,              0.0023176,              0.0023176,              0.0023176
                     99,                0.39839,                0.26523,                0.95713,                0.99849,                      1,                  0.995,                0.96972,                0.28241,                0.19359,                0.87554,              0.0022384,              0.0022384,              0.0022384
                    100,                0.37872,                0.24729,                 0.9431,                 0.9985,                      1,                  0.995,                 0.9725,                 0.2646,                0.19884,                0.86662,              0.0021592,              0.0021592,              0.0021592
                    101,                0.38398,                0.24011,                 0.9447,                0.99823,                      1,                  0.995,                0.97236,                 0.2973,                0.18564,                0.88826,                0.00208,                0.00208,                0.00208
                    102,                0.37798,                 0.2538,                0.93721,                0.99847,                      1,                  0.995,                0.96683,                0.27559,                0.17035,                0.86946,              0.0020008,              0.0020008,              0.0020008
                    103,                0.37858,                0.24602,                0.94627,                0.99851,                      1,                  0.995,                0.96624,                 0.2718,                0.15915,                0.86953,              0.0019216,              0.0019216,              0.0019216
                    104,                0.38499,                0.25444,                 0.9343,                0.99843,                      1,                  0.995,                0.97565,                 0.2502,                0.15412,                0.85586,              0.0018424,              0.0018424,              0.0018424
                    105,                0.37836,                0.24326,                0.94064,                 0.9985,                      1,                  0.995,                 0.9779,                0.23755,                0.15448,                 0.8554,              0.0017632,              0.0017632,              0.0017632
                    106,                0.38417,                0.25144,                0.93628,                 0.9985,                      1,                  0.995,                0.97454,                0.25963,                0.16093,                0.87342,               0.001684,               0.001684,               0.001684
                    107,                0.38037,                0.24862,                0.93662,                0.99849,                      1,                  0.995,                0.97462,                0.25525,                0.15659,                0.86727,              0.0016048,              0.0016048,              0.0016048
                    108,                0.35353,                0.23218,                0.92615,                 0.9985,                      1,                  0.995,                0.98047,                0.25616,                 0.1706,                0.85641,              0.0015256,              0.0015256,              0.0015256
                    109,                 0.3621,                0.23877,                0.93921,                      1,                      1,                  0.995,                0.98714,                0.24713,                0.15336,                0.84763,              0.0014464,              0.0014464,              0.0014464
                    110,                0.35762,                0.23012,                 0.9313,                0.99852,                      1,                  0.995,                0.98286,                0.24663,                0.16833,                 0.8424,              0.0013672,              0.0013672,              0.0013672
                    111,                 0.3415,                0.21955,                0.91803,                0.99842,                      1,                  0.995,                0.98177,                0.23284,                 0.1578,                0.84727,               0.001288,               0.001288,               0.001288
                    112,                0.34404,                0.22604,                0.92318,                0.99841,                      1,                  0.995,                0.97857,                0.24476,                0.18333,                0.85133,              0.0012088,              0.0012088,              0.0012088
                    113,                0.34243,                0.22917,                0.91918,                 0.9984,                      1,                  0.995,                0.97721,                0.25308,                0.16042,                0.85788,              0.0011296,              0.0011296,              0.0011296
                    114,                0.35757,                0.23274,                0.93936,                0.99848,                      1,                  0.995,                0.97908,                0.24679,                0.16119,                0.85382,              0.0010504,              0.0010504,              0.0010504
                    115,                0.27569,                0.20671,                0.88474,                0.99845,                      1,                  0.995,                 0.9858,                0.23057,                0.15971,                0.85006,              0.0009712,              0.0009712,              0.0009712
                    116,                0.25485,                0.18264,                0.87249,                0.99834,                      1,                  0.995,                0.98466,                0.22679,                0.16717,                0.84656,               0.000892,               0.000892,               0.000892
                    117,                0.24781,                0.17475,                0.84129,                0.99837,                      1,                  0.995,                0.97529,                0.24942,                0.16247,                0.85645,              0.0008128,              0.0008128,              0.0008128
                    118,                0.26074,                0.18314,                0.86622,                0.99835,                      1,                  0.995,                0.97907,                0.24671,                0.15815,                0.85935,              0.0007336,              0.0007336,              0.0007336
                    119,                 0.2437,                0.16869,                0.84774,                0.99848,                      1,                  0.995,                0.97315,                 0.2634,                0.15894,                0.86048,              0.0006544,              0.0006544,              0.0006544
                    120,                 0.2447,                0.17184,                0.84434,                0.99851,                      1,                  0.995,                0.97579,                0.26448,                0.16272,                0.86549,              0.0005752,              0.0005752,              0.0005752
                    121,                0.23249,                0.16811,                0.84408,                0.99851,                      1,                  0.995,                0.98188,                0.23976,                0.15287,                 0.8592,               0.000496,               0.000496,               0.000496
                    122,                0.23643,                0.17159,                0.87791,                 0.9985,                      1,                  0.995,                0.96832,                0.24654,                0.14703,                 0.8614,              0.0004168,              0.0004168,              0.0004168
                    123,                0.23921,                0.16629,                0.86124,                0.99851,                      1,                  0.995,                0.96983,                0.24295,                0.15641,                0.85885,              0.0003376,              0.0003376,              0.0003376
                    124,                0.23545,                0.16718,                0.85766,                 0.9985,                      1,                  0.995,                 0.9673,                0.24224,                  0.145,                0.85555,              0.0002584,              0.0002584,              0.0002584
